epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.98485,0.54092,0.30611,0.87469,0.96192,0.97666,0.98506,0.83488,0.63816,0.34219,0.90895,0.00030027,0.00030027,0.00030027
2,11.0101,0.57138,0.33583,0.8827,0.95198,0.97026,0.98662,0.81824,0.67712,0.3737,0.91964,0.000543547,0.000543547,0.000543547
3,15.9965,0.60602,0.35524,0.89148,0.9668,0.97199,0.99138,0.81132,0.70038,0.3875,0.92471,0.000726829,0.000726829,0.000726829
4,20.988,0.61333,0.36424,0.89761,0.93713,0.95355,0.9858,0.81857,0.71386,0.38887,0.93264,0.000639027,0.000639027,0.000639027
5,26.0004,0.60392,0.36167,0.89702,0.94083,0.96186,0.98415,0.82768,0.67535,0.36543,0.91526,0.000549036,0.000549036,0.000549036
6,30.9539,0.58492,0.3436,0.88339,0.95263,0.96507,0.98377,0.83117,0.65903,0.35734,0.91142,0.000459045,0.000459045,0.000459045
7,35.8593,0.56276,0.33194,0.88297,0.97385,0.96149,0.98707,0.82255,0.65977,0.34843,0.91736,0.000369054,0.000369054,0.000369054
8,40.8016,0.55404,0.32013,0.87775,0.9726,0.95202,0.98749,0.83325,0.63504,0.34215,0.9029,0.000279063,0.000279063,0.000279063
9,45.9456,0.53027,0.30646,0.86999,0.96499,0.97027,0.9864,0.83414,0.63421,0.33101,0.90551,0.000189072,0.000189072,0.000189072
10,50.904,0.51672,0.29169,0.86576,0.97621,0.96509,0.98675,0.83934,0.61759,0.32159,0.90231,9.9081e-05,9.9081e-05,9.9081e-05
